Date,Close,High,Low,Open,Volume
12/27/2010,216.0639191,218.8383034,215.2244349,216.6884067,5782048
12/28/2010,214.5589905,216.9750564,213.4021371,216.2788941,8857349
12/29/2010,214.7023163,216.0127289,214.2313878,214.6408926,11184510
12/30/2010,215.2346649,216.1662845,214.2211471,215.4803733,14561753
12/31/2010,216.7702789,218.3673488,215.6441511,216.6371943,9973432
1/3/2011,216.1355896,218.3673847,215.5213392,218.0602526,10411256
1/4/2011,220.537735,221.1110362,216.4836635,217.0364902,22021878
1/5/2011,220.2715912,223.1790605,219.0840258,221.1315363,25943243
1/6/2011,222.2781219,223.4656735,220.0156152,220.722001,21763180
1/7/2011,218.1421204,222.7183199,216.6269623,221.3976702,17875107
1/10/2011,211.6003113,219.1761151,209.09211,218.1421228,18478415
1/11/2011,207.5667267,214.7227889,204.4647495,212.9414479,21147094
1/12/2011,211.0577698,212.0508132,205.3656783,208.9795473,23195000
1/13/2011,207.8943329,212.7674138,207.0241369,210.8939373,24336418
1/14/2011,205.0585022,210.8529648,204.3418655,207.628127,19111808
1/17/2011,204.3214111,206.3894096,203.1236223,205.3656408,14046519
1/18/2011,203.6968994,206.3893851,202.7038563,205.7444094,14871527
1/19/2011,200.6870422,205.7751049,199.6325755,204.6694518,23491557
1/20/2011,198.5781555,200.1649884,195.4454662,200.1649884,41343304
1/21/2011,202.0487061,203.2157832,199.223135,199.6326399,19528676
1/24/2011,198.9364624,203.9119163,197.4008297,203.7481198,22242712
1/25/2011,196.2541962,201.6698799,195.793505,200.0625727,20325555
1/27/2011,193.0191498,198.0765018,192.4663231,197.7898581,28105152
1/28/2011,186.9380341,193.6743546,184.6857645,193.4900836,33855702
1/31/2011,188.2279816,190.1833565,184.9110075,186.0883219,25332450
2/1/2011,183.3548889,189.9478738,181.9318662,189.4155217,37898873
2/2/2011,188.6374664,189.9888144,185.7709466,186.3237733,28465716
2/3/2011,193.2648621,194.0019735,187.3475508,190.0093116,17047728
2/4/2011,188.3712921,193.9814846,186.968744,193.9814846,20715343
2/7/2011,190.2242737,192.2205974,187.2246695,189.5383488,14586353
2/8/2011,187.3987122,191.5858817,186.5797026,191.5858817,19685333
2/9/2011,187.2041931,191.892989,185.0235848,185.9961534,38228022
2/10/2011,184.2045898,188.5350814,181.22546,186.8356523,28347803
2/11/2011,186.3135376,187.34753,181.8294732,184.2660137,20012347
2/14/2011,187.3065643,188.0129501,183.0682086,185.5252235,30145949
2/15/2011,192.8144073,193.449146,186.589964,187.2247027,27266420
2/16/2011,193.3160095,194.6776084,192.0772717,192.1182208,11041551
2/17/2011,195.3225861,195.6297044,191.6984806,194.0735973,14091434
2/18/2011,191.5551453,197.1755603,190.8282713,195.7525379,15747939
2/21/2011,195.8140106,196.7456166,191.2787597,191.6677899,25629860
2/22/2011,201.6494141,206.6760541,200.502798,203.1133858,88922943
2/23/2011,203.8607025,205.2223013,201.6801079,201.9667516,31184499
2/24/2011,197.4212799,204.4647315,196.2234775,203.9323657,32903650
2/25/2011,197.8410492,201.1170739,195.4454577,200.7997046,15101417
2/28/2011,197.4315338,203.5843155,196.5613379,198.6497972,22487428
3/1/2011,202.4684296,203.2567274,198.0355649,199.3664521,12622459
3/3/2011,200.1240234,201.6801445,198.2198486,199.6735832,19518684
3/4/2011,201.1068115,203.6866737,200.2673275,201.6084518,15419957
3/7/2011,200.0523529,201.3320537,197.380355,199.4483398,11821324
3/8/2011,201.6698761,203.1952714,200.2468536,200.2468536,12057689
3/9/2011,203.4921722,205.6522924,198.219824,202.4376917,32473255
3/10/2011,201.6289368,203.3181286,201.0658592,203.2567049,9853822
3/11/2011,203.1236115,203.7071499,199.0490521,200.410651,15000438
3/14/2011,208.5086212,209.0000243,203.1646109,203.3079328,28811267
3/15/2011,212.3783722,214.907048,202.478638,204.3316399,56447390
3/16/2011,214.3951874,216.012732,212.5524226,213.965208,20605120
3/17/2011,211.0679626,214.7432546,210.4844242,212.7981172,12381790
3/18/2011,203.3181152,211.9176739,202.0077028,211.9176739,40501886
3/21/2011,202.7652893,204.7513757,200.8815757,204.5568674,15546778
3/22/2011,204.6797485,205.7546901,203.1441157,203.3283867,9793572
3/23/2011,207.4643555,208.160504,203.8914361,204.720683,11419987
3/24/2011,206.8603516,209.2457058,205.5397016,208.0069541,11233928
3/25/2011,210.1977997,210.883711,206.7989139,209.6449593,15392440
3/28/2011,210.0135193,212.194128,207.6793514,210.1261294,19079527
3/29/2011,209.4095001,211.3034513,208.7645379,208.8464361,18101992
3/30/2011,211.4058228,212.4295779,209.6859053,210.3820676,12257428
3/31/2011,214.8046875,215.9922527,211.8153204,211.8153204,31502965
4/1/2011,212.204361,218.2445192,211.0986939,214.7944607,18772571
4/4/2011,215.1220551,215.9717764,210.6891908,212.9414465,13111730
4/5/2011,214.5078125,216.8317293,212.9414543,215.5008558,10756797
4/6/2011,213.934494,215.859157,212.9414507,213.9652059,9083271
4/7/2011,213.3304596,214.4872992,211.9381489,213.9754217,10163661
4/8/2011,209.6449585,215.1732528,208.9795217,213.3509626,11995738
4/11/2011,205.8365479,208.7337792,205.4987177,207.4131431,11296579
4/13/2011,209.2149658,209.665406,204.0552279,205.1301693,19116564
4/15/2011,209.0409546,209.8394897,205.775167,208.5700261,14174275
4/18/2011,206.6248627,213.903772,204.8742335,208.6826101,14793743
4/19/2011,207.136734,208.3242992,204.4954482,205.7137115,12022958
4/20/2011,210.0544586,210.9963155,206.4303665,208.0274229,10315413
4/21/2011,213.0643311,213.8014425,210.8939731,211.8767793,14934401
4/25/2011,206.665802,209.0511559,205.8058434,207.6178961,18138998
4/26/2011,204.9868774,206.5941712,204.2497661,206.5941712,17652410
4/27/2011,201.9053345,206.6146186,200.6768339,205.7751346,24710243
4/28/2011,199.1002655,203.3181473,198.6088625,203.1134017,35712321
4/29/2011,201.4241791,202.294375,198.8750286,199.6326145,14936357
5/2/2011,197.533905,202.0486812,196.8275192,201.4548917,13609544
5/3/2011,193.2648621,198.0765199,192.6813235,197.6055914,22028515
5/4/2011,194.0326538,195.895893,192.4663094,193.4900644,11668233
5/5/2011,196.298996,199.1093216,194.9971509,195.2761226,19582976
5/6/2011,197.3528748,198.3757481,196.1233521,196.9292582,12916462
5/9/2011,198.2310638,199.6258947,196.5985884,198.3757087,8012908
5/10/2011,196.4642944,199.1816339,195.5963978,198.2310831,8143376
5/11/2011,197.4355316,198.0451202,194.9661682,197.1359101,8197011
5/12/2011,195.379425,197.2908585,194.4495378,196.6192656,9218985
5/13/2011,195.8960266,198.7890062,193.8192848,195.3277652,13906027
5/16/2011,195.276123,196.5986179,194.563203,196.3093281,7008149
5/17/2011,190.2444,195.6480703,189.5418255,195.4104394,17384039
5/18/2011,186.3595428,190.9056619,185.6363048,190.1100877,24814804
5/19/2011,189.1801758,190.5233478,186.9587892,187.7130225,18072585
5/20/2011,190.7713165,191.3085826,188.1056498,189.7897704,13873483
5/23/2011,187.9196472,190.5233369,186.6591433,189.9034167,14836682
5/24/2011,189.2318268,190.2960271,187.2170758,187.2170758,11107409
5/25/2011,187.2170715,188.8908602,186.1838666,188.8908602,13112272
5/26/2011,192.9720459,193.5919661,188.2709508,188.5809178,30001792
5/27/2011,195.3690796,196.9085552,193.023698,193.023698,15134521
5/30/2011,194.0052643,196.9292393,193.0547134,196.0923379,7564463
5/31/2011,196.6915894,197.5284768,193.6849467,195.276095,14083332
6/1/2011,195.6480255,198.0967385,194.99711,196.7225713,8042814
6/2/2011,196.5263214,197.2805687,193.5300235,193.5300235,9418728
6/3/2011,193.1270142,199.8221965,192.4864304,198.4790246,19110238
6/6/2011,193.7779236,194.4081755,191.7941543,193.1373261,6149800
6/7/2011,198.0140839,198.3757097,192.9100497,192.9100497,17612490
6/8/2011,196.1439819,197.5388128,195.0591181,197.394168,14205061
6/9/2011,197.1358795,197.9314399,195.6893897,195.7927075,9152117
6/10/2011,195.1727753,197.5491523,192.6000945,197.3631804,11068775
6/13/2011,191.2672577,194.9144844,190.3167069,194.9144844,12923374
6/14/2011,188.3226013,192.538089,188.0436434,191.2052489,18967099
6/15/2011,186.0909119,189.8827837,185.6879588,188.4569573,20156715
6/16/2011,183.4045563,186.1838864,182.69165,186.1838864,24969151
6/17/2011,179.5196991,184.5927521,178.7861293,184.1794673,22029696
6/20/2011,172.1839142,180.8111933,171.1197139,180.8111933,30300033
6/21/2011,175.3661957,176.6783585,173.0208142,173.5580802,17413744
6/22/2011,174.7772675,177.3292984,172.3698952,176.3374205,20107599
6/23/2011,179.8813171,180.335929,174.7979326,174.9322594,20713868
6/24/2011,180.067276,181.7824055,176.8023391,180.6355373,31670322
6/27/2011,180.0982971,182.2163799,178.0938776,179.0960874,14349371
6/28/2011,180.0053406,181.6171391,178.1249021,181.6171391,10219645
6/29/2011,182.9292908,183.4975522,180.211965,180.9558666,12430639
6/30/2011,185.6672668,186.3905048,183.29089,183.6421841,21744714
7/1/2011,178.1145477,187.4237392,177.0296838,187.4237392,28677893
7/4/2011,179.4473724,181.7204317,178.7447842,180.6872267,16499512
7/5/2011,174.8082581,179.6333343,174.4053189,179.6333343,33805768
7/6/2011,176.2444305,177.4016307,173.7234086,175.407543,26877909
7/7/2011,179.9226532,180.7905498,176.7300383,177.2983135,20137982
7/8/2011,176.6473846,180.6045647,176.0584597,180.3979292,20937538
7/11/2011,176.3270874,177.7012409,175.0252425,176.4717322,9598807
7/12/2011,175.1802368,177.1743245,174.7566203,175.1285779,13066390
7/13/2011,178.8377991,179.7160275,175.8724969,176.2754361,17029770
7/14/2011,179.2717285,181.4104609,177.5772624,178.3935001,13312532
7/15/2011,180.43927,181.0178632,178.7448037,179.3027471,10206245
7/18/2011,179.2820587,180.5838898,178.5794705,180.1706051,6582763
7/19/2011,181.7307739,182.1337131,178.9514437,179.2614108,9822813
7/20/2011,181.0592041,183.2496096,179.5300599,183.0842874,11180149
7/21/2011,177.8872223,181.0075007,177.2052976,181.0075007,7886175
7/22/2011,180.4702454,181.2244925,178.2281814,178.9514332,15303807
7/25/2011,182.4333344,184.3241042,181.6687693,184.3241042,21905216
7/26/2011,180.0879517,183.9418137,179.6540034,183.5491925,20462017
7/27/2011,177.8872223,180.811197,177.5359282,180.811197,13675826
7/28/2011,173.0311737,176.6783868,172.2149359,176.6783868,31299376
7/29/2011,171.0887146,175.0768894,170.0968368,173.5787409,21393442
8/1/2011,171.6879883,173.1654734,169.724896,173.1654734,14242019
8/2/2011,173.0208435,173.3514603,169.1359857,171.0060784,16570663
8/3/2011,170.4894714,172.7935262,170.0865322,170.8407656,14085375
8/4/2011,167.8651123,171.8532873,167.3898369,171.099054,13737415
8/5/2011,163.6599884,165.2098099,160.9736578,165.2098099,26222826
8/8/2011,161.3145905,164.569196,158.493947,160.4983665,22242669
8/9/2011,158.1426697,160.973659,155.6009839,155.6009839,32649029
8/10/2011,159.6821289,163.2466877,158.0806625,162.2858051,17746463
8/11/2011,159.5684967,162.2031685,158.0806796,158.7729224,10890149
8/12/2011,157.233429,161.8002113,156.6341722,161.8002113,17222470
8/16/2011,156.8718109,159.5891505,155.9522553,157.0474649,11286937
8/17/2011,156.014267,160.0231063,155.1876973,157.1507899,13545843
8/18/2011,153.1625977,157.0474552,152.294701,156.5721798,17126872
8/19/2011,151.3751373,152.7079775,149.0504192,151.0651703,20399978
8/22/2011,156.4275055,157.0164442,149.9389724,151.0548316,15542731
8/23/2011,158.132309,159.5271398,154.4644189,157.1197675,17536780
8/24/2011,157.3161163,159.0105829,156.2209204,157.8740461,12987792
8/25/2011,155.7042847,158.9072176,155.0326917,157.3780735,21214238
8/26/2011,148.6577759,156.2415175,147.1286322,155.1876491,19501819
8/29/2011,156.0245667,157.0267763,150.5072341,151.0754954,18316877
8/30/2011,161.717514,164.5485025,157.8739842,158.0806335,34217075
9/2/2011,166.4392853,168.1440831,163.1330212,164.6311697,34086257
9/5/2011,163.0090637,165.1064692,161.7898729,164.1765819,19981247
9/6/2011,169.7559052,170.5824747,160.4570456,161.8415448,31333473
9/7/2011,172.2355804,174.3019904,170.2104976,170.2724882,31438175
9/8/2011,176.151413,177.5049166,168.3093768,172.2355608,35284258
9/9/2011,170.6341248,177.4119619,170.2105082,176.0894534,29564130
9/12/2011,166.614975,169.9522354,164.3315972,167.4518765,18579499
9/13/2011,167.4311676,170.4274648,164.6415059,168.0407561,25400442
9/14/2011,170.5617981,171.4606762,166.3876372,168.1854211,20539026
9/15/2011,172.8141937,173.2894692,168.1131119,172.1322828,20407052
9/16/2011,170.6134491,175.6451608,169.6525666,175.6451608,26810791
9/19/2011,169.7662201,171.3366911,168.5366976,170.4791263,12796090
9/20/2011,176.0171204,176.4614004,168.681354,170.0658531,18437927
9/21/2011,173.0828094,175.8311302,171.9876139,175.8311302,17030216
9/22/2011,162.4924469,171.0783995,161.1802702,170.2621618,27298045
9/23/2011,159.237854,163.7839729,157.8946819,159.9197787,38513013
9/26/2011,156.8821411,159.2585183,154.4747686,158.9485651,27202137
9/27/2011,164.7345276,165.4577656,159.5271612,159.940446,22046959
9/28/2011,164.7345276,166.6149521,163.0607248,165.2614619,25034598
9/29/2011,166.9042664,167.9478033,162.0998526,163.3500389,31511671
9/30/2011,167.0385742,170.0452037,163.7633186,166.0363644,34944185
10/3/2011,162.8747559,165.2924603,162.0275227,163.4946762,21109422
10/4/2011,159.4445038,163.4120157,158.132327,162.006853,26251892
10/5/2011,158.4939117,160.7462933,157.4090343,159.6407661,20734666
10/7/2011,165.9123688,166.9662374,162.1928195,162.5647772,19911027
10/10/2011,171.3573608,171.6983232,166.1810039,166.1913357,14846381
10/11/2011,170.8924255,173.8680595,169.9625382,172.5455647,15716423
10/12/2011,175.5728607,176.0378044,170.696125,171.3883677,17269967
10/13/2011,175.0046082,177.2983313,174.0127301,175.645192,18353721
10/14/2011,179.1374207,179.7160276,173.8887272,173.9920587,17871109
10/17/2011,172.2975769,179.5403575,171.7499791,179.1580681,22052401
10/18/2011,169.4252777,170.7684499,167.6585028,170.4791464,18299531
10/19/2011,174.1986847,174.6119695,170.2931636,170.582467,11872557
10/20/2011,173.3101501,173.7647621,169.8592404,172.5145896,9971735
10/21/2011,172.700531,175.479861,171.7396484,173.5787594,10342733
10/24/2011,174.921936,176.4717436,174.3123338,175.2318893,9081569
10/25/2011,181.0075073,182.0407123,174.023035,176.6783699,22735907
10/28/2011,185.9772339,186.8038034,182.6916469,185.9152432,24528852
10/31/2011,181.3381348,185.8325805,180.3049298,185.5639544,15872042
