Date,Open,High,Low,Close,Volume,Open_lag1,High_lag1,Low_lag1,Close_lag1,Volume_lag1,RSI_14,SMA_9,SMA_20,SMA_50,MACD,MACD_hist,BB_percentB,Stoch_K,ATR_14,Williams_R,ADX_14,CCI_20,ROC_10,Volume_SMA_5
2011-03-08,200.2468536,203.1952714,200.2468536,201.6698761,12057689,199.4483398,201.3320537,197.380355,200.0523529,11821324.0,55.62085644139334,200.2195621,195.24376144000001,200.786180422,1.418350462580264,0.9817798365853074,0.7608465708614942,68.41086186516903,5.317680499999996,-31.58913813483098,32.02701649509623,78.41497498605254,2.9905242643551766,14288022.6
2011-03-09,202.4376917,205.6522924,198.219824,203.4921722,32473255,200.2468536,203.1952714,200.2468536,201.6698761,12057689.0,57.90566089698214,200.1786142888889,196.04843444,200.534745484,1.6737429475088277,0.9897350319766922,0.8035165784715254,79.90960666119179,5.662832764285712,-20.090393338808212,32.55246417970117,79.84871858690711,0.9138425262600336,18258181.8
2011-03-10,203.2567049,203.3181286,201.0658592,201.6289368,9853822,202.4376917,205.6522924,198.219824,203.4921722,32473255.0,54.79911936599038,200.64613172222224,196.769671625,200.27614440999997,1.708543294124098,0.8196264311563065,0.7066241794732726,68.15253361498617,5.555339135714283,-31.847466385013835,33.44983790764793,68.6584996915171,-1.094750323446969,16325209.4
2011-03-11,200.410651,203.7071499,199.0490521,203.1236115,15000438,203.2567049,203.3181286,201.0658592,201.6289368,9853822.0,56.801243614738794,201.2330830888889,197.71562271,200.044570314,1.8336418204287384,0.7557785852415957,0.7580965652779194,76.92813745251257,5.434682621428569,-23.07186254748743,33.73386121720135,64.37342189269675,2.888407775944124,16241305.6
2011-03-14,203.3079328,209.0000243,203.1646109,208.5086212,28811267,200.410651,203.7071499,199.0490521,203.1236115,15000438.0,63.136512336188105,202.46387057777778,198.82537688999997,199.91004944,2.33400892917939,1.004915086498021,0.9800296093305221,96.37463067244059,5.46393661428571,-3.6253693275594148,33.722354157458355,137.01096144581095,5.39199121877687,19639294.2
2011-03-15,204.3316399,214.907048,202.478638,212.3783722,56447390,203.3079328,209.0000243,203.1646109,208.5086212,28811267.0,66.8938769118526,203.5649753111111,200.078967285,199.82221130599999,3.0038359091577433,1.339792086685279,1.0977366584741979,87.00683879877997,5.575819935714283,-12.993161201220026,31.3787845562509,186.2185951872207,7.570643915040076,28517234.4
2011-03-16,213.965208,216.012732,212.5524226,214.3951874,20605120,204.3316399,214.907048,202.478638,212.3783722,56447390.0,68.68531861628091,205.1506602,201.15800629,199.787403262,3.6531079000246223,1.5912497736417097,1.073937064381882,92.13534775485537,5.580210835714283,-7.864652245144615,29.71407036633323,236.3860925163291,5.890675313461302,26143607.4
2011-03-17,212.7981172,214.7432546,210.4844242,211.0679626,12381790,213.965208,216.012732,212.5524226,214.3951874,20605120.0,62.6611965847313,206.25745476666668,202.04560394499998,199.598007814,3.8576489209679607,1.4366315606486548,0.8848598778844889,75.95807141056115,5.295752007142854,-24.041928589438857,30.574537152848055,175.29662230721215,5.46857844154256,26649201.0
2011-03-18,211.9176739,211.9176739,202.0077028,203.3181152,40501886,212.7981172,214.7432546,210.4844242,211.0679626,12381790.0,51.361575705109,206.62031724444444,202.4453804,199.258938294,3.362233789159177,0.7529726923176989,0.5386379746139964,34.73672511730142,5.598491642857139,-65.26327488269858,29.772369296882424,56.72958785122798,1.099566784191186,31749490.6
2011-03-21,204.5568674,204.7513757,200.8815757,202.7652893,15546778,211.9176739,211.9176739,202.0077028,203.3181152,40501886.0,50.659783672494335,206.7420298222222,203.0058876,198.868681642,2.8921038050046946,0.22627405816656854,0.48804631874394755,28.90095182165969,5.373264671428568,-71.09904817834033,27.86419488539562,-4.146811851801709,1.3561132177016377,29096592.8
2011-03-22,203.3283867,205.7546901,203.1441157,204.6797485,9793572,204.5568674,204.7513757,200.8815757,202.7652893,15546778.0,53.05215282437468,206.87398274444442,203.44917449500002,198.59943420399998,2.642128901843506,-0.01896066873139679,0.564801903495585,39.17585770189162,5.170708042857141,-60.82414229810838,25.665174351568538,20.836980322166276,1.4924749586832098,19765829.2
