Feature,Importance
RSI_14,-0.02211458236341155
ADX_14,-0.021956887717130825
Williams_R,-0.016868209643060107
Stoch_K,-0.016868209643059906
MACD,-0.010989926973162234
ROC_10,-0.01004530842513438
ATR_14,-0.0014026719622404205
SMA_50,0.004081232305373472
SMA_20,0.0041057755685072195
Volume_SMA_20,0.005144063448975955
MACD_hist,0.013112867920610793
CCI_20,0.02121941672902352
