Date,Actual_Close,Predicted_Close_GRU_Bi,Signal_3,Strat3_Return
2023-02-22,17554.30078,17863.176,-1,-0.0
2023-02-23,17511.25,17746.246,-1,0.0024524349069516838
2023-02-24,17465.80078,17654.006,-1,0.0025954297951316097
2023-02-27,17392.69922,17584.33,-1,0.004185411302968234
2023-02-28,17303.94922,17515.648,-1,0.005102715735919028
2023-03-01,17450.90039,17447.242,-1,-0.008492348661665927
2023-03-02,17321.90039,17452.951,1,0.007392168720069092
2023-03-03,17594.34961,17411.326,-1,0.015728598702558605
2023-03-06,17711.44922,17478.363,-1,-0.006655523653653184
2023-03-08,17754.40039,17568.902,-1,-0.002425051133110978
2023-03-13,17154.30078,17527.604,-1,-0.0
2023-03-14,17043.30078,17387.68,-1,0.006470680526332706
2023-03-15,16972.15039,17255.15,-1,0.004174683702319881
2023-03-16,16985.59961,17147.365,-1,-0.0007924287548104481
2023-03-17,17100.05078,17090.635,-1,-0.006738129511343116
2023-03-20,16988.40039,17104.156,1,0.006529243183920119
2023-03-22,17151.90039,17098.285,-1,0.0
2023-03-23,17076.90039,17138.955,1,0.004372693304802944
2023-03-27,16985.69922,17083.121,-1,0.0
2023-03-31,17359.75,17077.604,-1,0.0
2023-04-03,17398.05078,17197.057,-1,-0.0022062979017556383
2023-04-05,17557.05078,17284.637,-1,-0.009138954818017853
2023-04-06,17599.15039,17391.617,-1,-0.002397874821206125
2023-04-10,17624.05078,17469.889,-1,-0.001414863186472326
2023-04-11,17722.30078,17518.287,-1,-0.00557476832235948
2023-04-12,17812.40039,17584.402,-1,-0.005083967997071559
2023-04-13,17828.0,17656.041,-1,-0.0008757724763899244
2023-04-24,17743.40039,17607.4,-1,0.0
2023-04-25,17769.25,17631.805,-1,-0.0014568577291740326
2023-04-26,17813.59961,17648.596,-1,-0.002495862796685344
2023-04-27,17915.05078,17670.006,-1,-0.005695152704737305
2023-04-28,18065.0,17715.734,-1,-0.008370013674055432
2023-05-02,18147.65039,17802.137,-1,-0.004575166897315297
2023-05-03,18089.84961,17889.174,-1,0.0031850282961064513
2023-05-04,18255.80078,17924.898,-1,-0.009173717503337508
2023-05-05,18069.0,18003.982,-1,0.01023240679776971
2023-05-08,18264.40039,17986.21,-1,-0.010814123083734417
2023-05-09,18265.94922,18042.223,-1,-8.480048438097576e-05
2023-05-10,18315.09961,18077.467,-1,-0.002690820466433097
2023-05-11,18297.0,18113.148,-1,0.000988234319518444
2023-05-12,18314.80078,18130.771,-1,-0.0009728797070558404
2023-05-15,18398.84961,18153.613,-1,-0.004589120624876264
2023-05-16,18286.5,18200.568,-1,0.006106338840822789
2023-05-19,18203.40039,18124.266,-1,0.0
2023-05-22,18314.40039,18125.13,-1,-0.006097761825915704
2023-05-23,18348.0,18165.424,-1,-0.001834600603050518
2023-05-24,18285.40039,18206.898,-1,0.0034117947460213793
2023-05-25,18321.15039,18213.896,-1,-0.0019551116867833063
2023-05-26,18499.34961,18226.922,-1,-0.00972642089643383
2023-05-29,18598.65039,18292.91,-1,-0.005367798441212157
2023-05-30,18633.84961,18368.766,-1,-0.0018925685069561826
2023-05-31,18534.40039,18432.055,-1,0.00533701956822874
2023-06-02,18534.09961,18425.586,-1,0.0
2023-06-05,18593.84961,18434.393,-1,-0.003223787573028991
