feature,corr_with_trend,mutual_info
ROC_10,-0.014214397108032425,0.017654496644760487
MACD_hist,-0.006861359911124262,0.014333010244997446
SMA_20,0.007600635241857856,0.01120945379228111
SMA_9,0.007047319660992725,0.009340357776160602
SMA_50,0.008341638556886511,0.007174724012829037
MACD,-0.01484009055793572,0.006447638812114631
BB_percentB,0.0025353061955305472,0.006111794753861144
Low,0.00707457872408991,0.0035875862824150673
Open,0.0069174155751955575,0.0035300257144785796
RSI_14,-0.01792488999834461,0.0026293893717770356
Close,0.007007080563458924,0.001573917180377471
High,0.0070633327742320885,0.0
Volume,0.011602966325252482,0.0
ATR_14,0.016500823045919315,0.0
Stoch_K,-0.004089267278686465,0.0
Williams_R,-0.004089267278686457,0.0
ADX_14,0.004497575284188651,0.0
CCI_20,0.0004788819535998296,0.0
Volume_SMA_5,0.0160124875818732,0.0
