Date,RSI_14,SMA_20,SMA_50,MACD,MACD_hist,BB_percentB,Stoch_K,ATR_14,Williams_R,ADX_14,CCI_20,ROC_10,Volume_SMA_20
2011-03-03,0.5464622670120279,0.05012304288894087,0.05987883030317748,0.6747656739916347,0.6162310184721357,0.714476646585941,0.8558421688651784,0.11187039358145767,0.8558421688651785,0.1931843901678505,0.6393026118257253,0.667543679363246,0.0
2011-03-04,0.5484190721701687,0.05016642459388204,0.05921592483476684,0.6825308166869604,0.6256047148491356,0.7159929521641013,0.819909314601435,0.10584186626781572,0.8199093146014351,0.18618652473391734,0.6674308136345488,0.6437166243641926,0.0
2011-03-07,0.484860979377451,0.05041008481568465,0.05844710887682503,0.6847018765188795,0.619943572171391,0.6051922899672404,0.6155877923128281,0.10338443989763452,0.6155877923128281,0.16627565417312173,0.5509748476809937,0.6482539514653368,0.0
2011-03-08,0.5326736532750367,0.050861253842120646,0.05771704207625533,0.689771000581461,0.6222324048582747,0.6736373833569421,0.7713960022539111,0.10016887145399,0.7713960022539113,0.14694970530532164,0.599584658147269,0.6474743450640504,0.0
2011-03-09,0.5410662412751642,0.051650982334107476,0.05702222938164975,0.6944499497827508,0.6231455973230632,0.673350736711879,0.7989636830529586,0.10449811457548538,0.7989636830529588,0.1388098725130386,0.6114928294104574,0.6703982510502152,0.0
2011-03-10,0.5076496276800265,0.052521689654367376,0.05627609784111243,0.6961973090612292,0.6169795749476132,0.612187012980062,0.7000459840405554,0.1016694293270034,0.7000459840405555,0.13245369579662553,0.5725351624299273,0.6687003598362709,0.0
2011-03-11,0.464634717523858,0.053315757021801025,0.055361432525593224,0.6949466399120368,0.6049938829188231,0.5213143398021767,0.5677514643982495,0.09475209669751164,0.5677514643982496,0.1251686795482989,0.5104551465814381,0.7196609901727364,0.0
2011-03-14,0.5424986509820313,0.054116510992174405,0.05451303516888789,0.6987962871325225,0.6074038858734676,0.6581189893383136,0.8003150141206024,0.0936959160715887,0.8003150141206025,0.11379234198004874,0.579193031281406,0.737020908938155,0.0
2011-03-15,0.4718299344782748,0.05409355448569236,0.05349431874380084,0.6973439270559695,0.5968588675230951,0.5080377415063033,0.5791018534864498,0.10161193558878925,0.57910185348645,0.10900112629189508,0.46169073436922736,0.6925329540323562,0.0
2011-03-16,0.525232406901724,0.054202550665073235,0.05253272227971467,0.6996613767878845,0.597291376014022,0.6178425319530225,0.7453155748066174,0.10347328506319381,0.7453155748066174,0.1054525238996359,0.5851015860887548,0.6423901924701801,0.0
2011-03-17,0.4713063928126222,0.05407583887598755,0.051491916292560114,0.697950075254391,0.588159705659658,0.5032494965518585,0.570993867080588,0.09102929610536467,0.5709938670805881,0.10741383990212124,0.5052112461613755,0.61262059609956,0.0
2011-03-18,0.4158398393629439,0.05345132308193784,0.05044159115928615,0.6926329007097021,0.5723715182748443,0.3862129580942483,0.21338210178423078,0.09220046452142963,0.213382101784231,0.10021443004579907,0.4112970292370461,0.5839710942287517,0.0
2011-03-21,0.4092118987167165,0.05311077599319658,0.04942488300872827,0.6880878625713692,0.5615574307180767,0.3834705283649666,0.05748445430397169,0.0808700992106399,0.057484454303971866,0.10427461335162215,0.37092641946319904,0.6087593013175718,0.0
2011-03-22,0.45801004738545825,0.05273208986048056,0.04869489101913599,0.687410995489706,0.5620060764109394,0.478579035156523,0.24910986662923024,0.06660657927351846,0.24910986662923051,0.10050707424858162,0.4343253580822673,0.6058981343809149,0.0
2011-03-23,0.5191732722292718,0.052772036475494555,0.048274522587555824,0.6907312883190239,0.5717683551214283,0.5961384369626148,0.5082520907263555,0.06456743824294256,0.5082520907263556,0.08637070144471694,0.5202159017841671,0.6273406982186717,0.0
2011-03-24,0.5554797277586938,0.05307950360069752,0.04792986790173431,0.6958038521588156,0.583700414037963,0.6613589322026302,0.8146677400651727,0.060870831410761134,0.814667740065173,0.06891605443838343,0.6136348391765907,0.6573527931470647,0.0
2011-03-25,0.6535781691995208,0.054495011776556024,0.04761897982058344,0.7071627793877567,0.6080348002699285,0.8611550787874248,0.9667217009249729,0.06237669952073219,0.966721700924973,0.08457945406356844,0.7729062480608795,0.7272701439476312,0.0
2011-03-28,0.6750983464537015,0.05588214249700424,0.04752281291159122,0.7178404267551702,0.625899589939801,0.8723521376061737,0.9461754550597288,0.0622198425183802,0.9461754550597289,0.10091341071312084,0.8222996219190518,0.7058477727701657,0.0
2011-03-29,0.706246261496623,0.05733940662310538,0.047644491074884776,0.728756211006826,0.6407516413147814,0.8897257802098019,0.9258844662231754,0.0626172442304064,0.9258844662231756,0.11666443719535997,0.8375195748847402,0.7572682856534677,0.0
2011-03-30,0.7371365977976909,0.058298684924286914,0.0478421800486547,0.7398571633236133,0.6530688926437427,0.8821480619685419,0.9730386904773902,0.06306167229916576,0.9730386904773904,0.1433629163196085,0.815624745298698,0.7521415811094627,0.0
2011-03-31,0.7635491771672765,0.059374369744772504,0.048005359393752445,0.7506890538215095,0.6622897231801388,0.8663740744541015,0.9335110935013144,0.06329169870111881,0.9335110935013144,0.177760933155945,0.780154953936957,0.7960929760712481,0.0
2011-04-01,0.7539447213362381,0.06041299935895417,0.04820617226913687,0.7582008351121685,0.6618557937646385,0.8116043091383892,0.9185941281018742,0.05772332614843467,0.9185941281018746,0.21736047968929784,0.7283609569473003,0.8236563116734474,0.0
2011-04-04,0.8006713594988837,0.06202282318571789,0.048498987335790944,0.7680291038331872,0.6669582136702423,0.8353543650854713,0.9893786506435885,0.05090530564769803,0.9893786506435888,0.266316010456949,0.7205510827062829,0.859759952644604,0.0
