Date,Predicted_Close
2025-12-18,20739.946696511426
2025-12-19,20686.107669377525
2025-12-22,20582.450575528783
2025-12-23,20421.146108362434
2025-12-24,20196.758147108885
2025-12-25,19901.45058150984
2025-12-26,19522.893486828503
2025-12-29,19051.952955513967
2025-12-30,18471.927714150508
2025-12-31,17776.566904218646
2026-01-01,16934.889229799184
2026-01-02,15968.590697924836
2026-01-05,14897.185893573554
2026-01-06,13757.961400428272
2026-01-07,12559.235537833074
2026-01-08,11341.331871208726
2026-01-09,10140.426287472656
2026-01-12,8997.378565147194
2026-01-13,7962.664174162903
2026-01-14,7016.770868298417
2026-01-15,6177.528264716492
2026-01-16,5523.337650090585
2026-01-19,5196.306658583826
2026-01-20,5127.413480515511
2026-01-21,5035.300489189683
2026-01-22,4990.2013954285785
2026-01-23,4909.692463840034
2026-01-26,4857.772120719548
2026-01-27,4812.742551813406
2026-01-28,4778.645739773189
