Date,Open,High,Low,Close,Volume,Close_lag1,Volume_lag1,RSI_14,SMA_20,SMA_50,MACD,MACD_hist,BB_percentB,Stoch_K,ATR_14,Williams_R,ADX_14,CCI_20,ROC_10,Volume_SMA_20
2011-03-07,10885.97341,10885.97341,10658.17624,10782.125,0.0,10963.27344,0.0,50.91339145681741,10656.8011235,10853.7418366,20.05268081235954,28.53522875541163,0.5912400913764805,54.20038412539202,307.9143564285715,-45.79961587460798,23.707961337823157,27.46071007473782,-1.5292672721553435,0.0
2011-03-08,10782.47439,10962.57288,10779.02521,10931.42285,0.0,10782.125,0.0,54.043665475643714,10684.1758305,10842.8319732,33.30283074776344,33.42820753062637,0.6805705955370814,67.39579319174794,298.7072921428572,-32.60420680825206,23.599067167023662,50.80755509149516,-1.072834066428785,0.0
2011-03-09,10987.27231,11053.87115,10904.4725,10974.67188,0.0,10931.42285,0.0,54.940096923869284,10725.5278325,10832.9090826,46.69215056953908,37.453936351274244,0.6925229804824671,71.21827718983019,301.12160500000016,-28.781722810169814,22.59791202048559,67.80681798556732,1.2734354855082008,0.0
2011-03-10,10920.5236,10920.5236,10783.17461,10850.12402,0.0,10974.67188,0.0,51.80610940950703,10762.2073735,10821.368223200001,46.86696578924784,30.102946261902503,0.5755884193548197,60.21034933930035,295.36445142857156,-39.78965066069966,20.847827892186928,28.81047166936401,1.9142551782254769,0.0
2011-03-11,10772.77502,10904.0733,10696.97512,10740.8252,0.0,10850.12402,0.0,49.15608998047855,10795.5495125,10803.929414600001,37.87642545780545,16.889900059571115,0.4434232985388162,59.26330674487917,282.65031214285733,-40.73669325512083,19.051750060691624,-3.5692998896404924,5.192571813334568,0.0
2011-03-14,10730.27534,10916.52316,10730.27534,10893.12305,0.0,10740.8252,0.0,52.78061722110869,10817.8242195,10789.2085748,42.3868288238682,17.120222723403238,0.5824866569501894,75.04400654807777,277.09324714285736,-24.95599345192222,17.511319885359068,13.267523127060487,4.382966930611554,0.0
2011-03-15,10673.776,10784.07451,10591.17637,10725.6748,0.0,10893.12305,0.0,48.67228386227307,10813.986768,10767.8958012,32.24494627339118,5.582666916507375,0.4036447604658265,57.69346242798069,279.2004671428575,-42.3065375720193,16.238074180677515,-50.4858957334585,2.783324576393653,0.0
2011-03-16,10776.97475,11001.12254,10776.97475,10957.47266,0.0,10725.6748,0.0,54.009038023867674,10813.881739,10749.9330084,42.209552934667954,12.437809555118431,0.6567166088704114,81.71174268396473,282.50412357142886,-18.28825731603527,14.67500086635194,41.43919952118427,0.6632742888634136,0.0
2011-03-17,10881.72329,11018.1719,10824.27473,10851.82422,0.0,10957.47266,0.0,51.38655256135077,10808.444288,10735.691192,41.19590168209288,9.139321170936697,0.547843901765108,67.60435152214612,262.2507200000003,-32.395648477853875,16.408246075163976,37.54499542538008,-0.5730867885260671,0.0
2011-03-18,10881.87306,10927.12253,10699.27558,10715.77539,0.0,10851.82422,0.0,48.14457216004424,10787.504541999999,10723.9003326,29.186279994477445,-2.2962393136602017,0.4161840027816645,45.67067295619079,257.1149892857146,-54.32932704380921,17.610390650733677,-8.307716739126391,-2.257519630012983,0.0
2011-03-21,10795.52455,10814.62394,10661.02612,10723.47461,0.0,10715.77539,0.0,48.34319311302625,10776.1996105,10714.6364264,20.05372304329103,-9.143033508956062,0.43749569364384544,32.23273117452636,240.9080064285716,-67.76726882547365,16.198270536956436,-25.008233378312674,-0.5439594699560679,0.0
2011-03-22,10759.82533,10822.12441,10726.12552,10771.1748,0.0,10723.47461,0.0,49.630426154053886,10762.2598155,10708.995508400001,16.44341817582972,-10.202667574020591,0.5110987749398491,33.16144378890064,214.32622928571462,-66.83855621109936,14.573511370909406,0.6147712090549171,-1.4659395414385656,0.0
2011-03-23,10755.725,10972.17269,10744.57571,10957.97266,0.0,10771.1748,0.0,54.42043453313712,10768.324757,10714.144434200001,28.211529811278524,1.252354942065658,0.7313178191778043,67.57555914688926,208.6762542857146,-32.42444085311074,12.596962830056436,63.32561596629761,-0.1521614512269176,0.0
2011-03-24,11001.62189,11112.47021,11001.62189,11070.2207,0.0,10957.97266,0.0,57.06280220624917,10789.5194835,10718.8803716,45.99776709438629,15.23087079245689,0.8288019519189623,91.89526007059673,204.02624857142888,-8.104739929403275,10.59918040150051,134.6730054345746,2.0285176426951157,0.0
2011-03-25,11179.06981,11420.26719,11136.32031,11387.16699,0.0,11070.2207,0.0,63.497614764667404,10848.34629,10724.063281800001,84.51968857304382,43.002227068652395,1.1490773537545975,96.00765088678696,207.2369121428575,-3.9923491132130398,12.632115352664178,238.7675228299295,6.017617622154403,0.0
2011-03-28,11348.71785,11598.86533,11348.01864,11523.2666,0.0,11387.16699,0.0,65.86341549092171,10902.723194,10740.198106,124.52305179936593,66.40446389942286,1.161672946621396,92.49781103089593,212.0439850000004,-7.502188969104077,15.17375959514897,279.73093630772394,5.784783180246933,0.0
2011-03-29,11522.61593,11657.46397,11507.3163,11582.36523,0.0,11523.2666,0.0,66.86760339088639,10960.0800295,10763.1898246,159.12899340863623,80.80831629107809,1.1134318798035303,92.95699021539768,212.09748642857176,-7.0430097846023125,17.581151474899357,242.18739897599053,7.9872870096713955,0.0
2011-03-30,11625.3649,11801.51325,11625.3649,11765.06348,0.0,11582.36523,0.0,69.822980584186,11004.069531500001,10789.071543400001,198.9210965369566,96.48032778362021,1.1137341741696405,96.9884607663943,214.07254000000037,-3.011539233605708,20.480133758025115,221.46018101809125,7.370228930144562,0.0
2011-03-31,11804.8133,11898.26241,11569.11584,11705.31445,0.0,11765.06348,0.0,67.69628154261277,11043.6166015,10810.810293399998,223.08375507023447,96.51438284981114,0.9777336936566258,85.2383122384201,222.7902821428574,-14.76168776157991,23.068925511583846,170.7464622399452,7.864947060486016,0.0
2011-04-01,11712.91362,11738.31371,11540.71543,11590.81543,0.0,11705.31445,0.0,63.69266334303491,11074.993701000001,10830.3260552,230.3774015519648,83.04641919481764,0.8519046178113159,76.47844360727785,223.6010292857145,-23.521556392722147,25.824676603112387,121.06659819127529,8.165905015297259,0.0
2011-04-04,11614.31568,11840.56305,11614.31568,11804.16309,0.0,11590.81543,0.0,67.5443341481739,11126.0956055,10850.4448444,250.41112422982405,82.46411010576409,0.9305649728225852,92.39439379845548,219.87252500000017,-7.605606201544528,29.372985766363374,124.66433558299877,10.077782801781643,0.0
2011-04-05,11853.46226,11861.01295,11677.96429,11798.76367,0.0,11804.16309,0.0,67.3496037620981,11169.4626465,10868.634649,262.8217041775679,75.89974954493823,0.8762442818525482,91.95798403229838,213.27259071428594,-8.042015967701625,33.9346122733125,111.0640671919339,9.540174484959607,0.0
2011-04-06,11784.41245,11837.91183,11686.41359,11729.91309,0.0,11798.76367,0.0,64.78474912200232,11207.224707,10880.2125006,264.0754021491739,61.72275638819397,0.8014686780226992,86.39311493199092,210.24409571428583,-13.606885068009078,36.8001022104587,93.04405320186943,7.044555174132006,0.0
2011-04-07,11724.61363,11824.86246,11656.56461,11754.26367,0.0,11729.91309,0.0,65.28823900591502,11252.431689500001,10897.8412896,263.98249739102175,49.303880265572474,0.7842758930927419,88.36125797764959,205.99058857142867,-11.638742022350412,41.12783794790715,82.40752934596289,6.17912676302832,0.0
2011-04-08,11751.66315,11853.21177,11632.41454,11673.11426,0.0,11754.26367,0.0,62.10166543651071,11299.0461425,10917.7830474,254.4466166420625,31.814399077219008,0.7156701348709007,80.79165053835997,210.79054642857162,-19.208349461640022,46.70158809721865,71.19083885868997,2.5111361785693953,0.0
2011-04-11,11590.86531,11636.86478,11551.61577,11597.66504,0.0,11673.11426,0.0,59.208157915491256,11334.273242,10938.1738092,238.07341284397444,12.352956056787264,0.6540398278109589,73.94462725452244,212.42259571428582,-26.055372745477555,51.04728834172465,45.86719755791414,0.6456367155472931,0.0
2011-04-13,11531.31608,11856.21172,11490.41617,11839.3623,0.0,11597.66504,0.0,64.85702715027894,11389.957617,10962.126543400002,241.76064760320514,12.832152514432693,0.7698049894370383,93.43102294774735,222.29392214285716,-6.568977052252639,54.96193406466206,63.43865637242217,2.2188651876936305,0.0
2011-04-15,11809.96202,11950.56097,11707.46322,11735.51367,0.0,11839.3623,0.0,60.95144364401724,11428.859667499999,10987.2152542,233.62952543452957,3.760824244160375,0.686900922272283,73.5892211523802,228.62250785714292,-26.4107788476198,59.18228216187506,71.00325899985764,-0.25116575061607804,0.0
2011-04-18,11754.06392,11886.96179,11524.91619,11539.61621,0.0,11735.51367,0.0,54.30783424916946,11463.249267000001,11008.607012,209.00448638146372,-16.691371731924733,0.5492739997359,31.79819250209356,229.47958714285713,-68.20180749790644,59.23642710257,39.25360029553027,-1.4155812789805045,0.0
2011-04-19,11562.81571,11631.01511,11482.01684,11586.61523,0.0,11539.61621,0.0,55.559374826113036,11506.791259000001,11026.929804800002,191.07050823775353,-27.700279747563684,0.5577223678724563,22.324127718769873,222.20469999999997,-77.67587228123013,58.007757917341756,16.05022007463863,-0.03623731242523576,0.0
2011-04-20,11678.56482,11813.56325,11614.46498,11794.41309,0.0,11586.61523,0.0,60.68658284228431,11560.338183,11054.1434962,191.38573470706615,-21.90804252583044,0.6966343618314793,66.67381576202857,227.69043928571423,-33.32618423797143,57.376372500205306,56.90247443353831,-0.08259797772753874,0.0
2011-04-21,11857.31196,11925.91077,11836.8122,11894.61133,0.0,11794.41309,0.0,62.90874627559664,11616.5100095,11084.3571486,197.42947619886945,-12.69144078237403,0.7878245739455673,88.05883236654769,221.42970071428564,-11.941167633452308,55.49210488330889,106.6965238941685,0.8123534183815062,0.0
2011-04-25,11860.21213,11977.91096,11860.21213,11878.8623,0.0,11894.61133,0.0,62.3125501794468,11662.554491500001,11118.9817578,198.65976027589204,-9.168925338360964,0.781457443608691,80.0262483451107,206.32629071428568,-19.973751654889305,53.431267140998564,120.46765162125367,1.2698236453855927,0.0
2011-04-26,11903.66169,11912.31198,11709.66394,11867.5625,0.0,11878.8623,0.0,61.85956231170259,11702.4215815,11154.0023438,196.45913646407462,-9.095639299572355,0.7996141863359213,77.74757643829302,206.6869878571428,-22.252423561706976,50.76861779635636,85.3599350769795,0.9638955972135266,0.0
