feature,corr_with_next_close,mutual_info
Close,0.999673812826304,3.3151307036336664
High,0.9995735175367079,3.1879915136915926
Low,0.9995657526779815,3.1795703211911706
Open,0.9994078912572546,3.0123648580766478
SMA_9,0.9988753660011281,2.7534438493379016
SMA_20,0.9977665655154935,2.57618751315061
SMA_50,0.9947835415389062,2.4853399782642795
ATR_14,0.857224323280224,1.2714086582173723
MACD,0.17437713882118053,0.7314975453764481
MACD_hist,0.008611985248329311,0.4148099146978286
Volume_SMA_5,-0.06451780507487562,0.2823344342419585
RSI_14,0.07641625028906598,0.17989323944715352
ADX_14,0.09151163341099847,0.16842240638593076
Volume,-0.05344295271138239,0.14751895264614578
ROC_10,0.03557471869044233,0.10239617717848226
CCI_20,0.04221663183364428,0.09642061450268447
BB_percentB,0.0470689723900934,0.07735001842482525
Williams_R,0.05737308470761511,0.05469544314733277
Stoch_K,0.0573730847076151,0.05469544314733277
