feature,corr_with_close,mutual_info
Low,0.9998872418828885,4.41332344262727
High,0.9998876041424056,4.410822921966803
Open,0.9997616121463775,3.706994070122767
Close_lag1,0.9996490103077365,3.5520942922597376
SMA_20,0.9977101164532165,2.845913981499223
SMA_50,0.9941530833041001,2.675920884923356
ATR_14,0.5427404761362093,1.045314306369412
Volume_SMA_20,0.09144041512367647,0.9598452596552611
MACD,0.1952553959334776,0.6058322993072531
Volume_lag1,0.021882856961589953,0.5511724103135849
Volume,0.021635660969866632,0.5421681407986192
MACD_hist,0.00681299264590866,0.28332478423789187
ADX_14,-0.0699422221366599,0.20482579824357838
ROC_10,0.03030976322420694,0.18660042729768822
RSI_14,0.09882996371778689,0.16194725407415422
BB_percentB,0.07891888411152362,0.11972780974375219
CCI_20,0.07668812531281985,0.09556352344318597
Williams_R,0.07158851462502451,0.07430236183911809
Stoch_K,0.07158851462502451,0.07430236183911809
