Date,Close,High,Low,Open,Volume
1/31/2011,4689.799805,4700.600098,4593.899902,4633.299805,0
2/1/2011,4629.25,4723.950195,4598.100098,4705.799805,0
2/2/2011,4630.200195,4672.299805,4603.25,4643.649902,0
2/3/2011,4640.899902,4662.350098,4605.399902,4618.950195,0
2/4/2011,4573.25,4679.549805,4557.100098,4637.850098,0
2/7/2011,4500.200195,4558.600098,4490,4550.399902,0
2/8/2011,4427.600098,4541.700195,4411.450195,4541.700195,0
2/9/2011,4373.25,4466.600098,4354.700195,4422.899902,0
2/10/2011,4393.399902,4419.5,4356.799805,4358.450195,0
2/11/2011,4428.700195,4437.450195,4367.850098,4387.799805,0
2/14/2011,4515.200195,4525.25,4432.350098,4436.649902,0
2/15/2011,4498.350098,4553.25,4449.549805,4520.950195,0
2/16/2011,4451.350098,4552.200195,4433.25,4485.700195,0
2/17/2011,4477.450195,4500.850098,4437.600098,4458.75,0
2/18/2011,4463.25,4518.100098,4456.950195,4479.850098,0
2/21/2011,4497.299805,4507.399902,4427,4460.600098,0
2/22/2011,4458.950195,4489.450195,4432.649902,4489.450195,0
2/23/2011,4426.399902,4472.700195,4418.950195,4459.850098,0
2/24/2011,4300.25,4422.899902,4274.25,4412.899902,0
2/25/2011,4328.100098,4368.799805,4300.799805,4337.299805,0
2/28/2011,4331.049805,4404.75,4317.799805,4338.450195,0
3/1/2011,4473.649902,4481.549805,4334.600098,4334.600098,0
3/3/2011,4456.399902,4485.549805,4425,4458.899902,0
3/4/2011,4446.75,4499.700195,4438.100098,4481.850098,0
3/7/2011,4427.350098,4438.399902,4375.350098,4433.649902,0
3/8/2011,4447.200195,4472.25,4432.450195,4440.950195,0
3/9/2011,4425.049805,4466.850098,4394.299805,4451.75,0
3/10/2011,4395.649902,4424.200195,4386.25,4424.200195,0
3/11/2011,4386.850098,4429.350098,4345.200195,4384.899902,0
3/14/2011,4419.850098,4428.75,4364.700195,4381,3765000
3/15/2011,4346.200195,4401.100098,4307.299805,4379.950195,6075000
3/16/2011,4408.950195,4426,4359.450195,4359.450195,4313000
3/17/2011,4385.5,4417.950195,4363.649902,4377.850098,4368000
3/18/2011,4340,4417.049805,4331.149902,4405.799805,4930000
3/21/2011,4344.799805,4368.049805,4336.350098,4352.399902,6084000
3/22/2011,4389.75,4397.649902,4347.200195,4347.200195,6560000
